epoch,acc,loss,val_acc,val_loss
0,0.600801830234,0.665827596983,0.675994113724,0.634564323172
1,0.681966945244,0.596813827651,0.706921952199,0.581221479555
2,0.70700376351,0.569156923596,0.742268048611,0.53983835865
3,0.733513334509,0.534405806601,0.728276866262,0.5355337292
4,0.749059070427,0.510529515055,0.759941086941,0.506385429399
5,0.764522989532,0.492526450591,0.753313693452,0.50222113114
6,0.777777777124,0.469379615143,0.757731957271,0.506177867723
7,0.79397807109,0.454594972705,0.771723121273,0.484612481979
8,0.796923581648,0.436205232061,0.720913107511,0.579658743998
9,0.797578138379,0.434211821242,0.762886592935,0.477738850027
10,0.825396827113,0.397514721358,0.788659783983,0.450459089651
11,0.827196857891,0.385896458146,0.783505154903,0.462350365778
12,0.829815085782,0.380233682323,0.769513985721,0.477685204355
13,0.837097036499,0.365999454222,0.780559648909,0.469953356505
14,0.841269843825,0.355790331762,0.788659789162,0.467196314561
15,0.849697266014,0.339263930909,0.784241524642,0.496602628605
16,0.857797416157,0.327535338177,0.782768785163,0.497686077068
17,0.87015218994,0.302109031882,0.785714284573,0.474980709523
18,0.876125020582,0.284538568997,0.788659782578,0.471540022186
19,0.883652431536,0.271909894951,0.792341678764,0.48416844638
